省份,确诊,疑似,治愈,死亡
湖北省,22112,0,867,618
广东省,1034,0,88,1
浙江省,1006,0,123,0
河南省,914,0,86,3
湖南省,772,0,112,0
安徽省,665,0,47,0
江西省,661,0,45,0
重庆市,415,0,31,2
江苏省,408,0,43,0
山东省,386,0,37,0
四川省,344,0,42,1
北京市,297,0,33,1
上海市,277,166,30,1
黑龙江省,277,0,12,3
福建省,224,0,20,0
陕西省,184,0,17,0
广西壮族自治区,172,0,17,0
河北省,172,0,22,1
云南省,136,0,13,0
海南省,117,0,10,2
辽宁省,96,0,7,0
山西省,96,0,15,0
贵州省,81,0,6,1
天津市,81,0,2,1
甘肃省,67,0,9,0
吉林省,65,0,4,1
内蒙古自治区,50,0,5,0
宁夏回族自治区,43,0,5,0
新疆维吾尔自治区,39,0,0,0
香港,25,0,0,1
青海省,18,0,3,0
台湾,16,0,1,0
澳门,10,0,1,0
西藏自治区,1,0,0,0
