省份,确诊,疑似,治愈,死亡
湖北省,33366,0,2646,1068
广东省,1219,0,266,1
河南省,1135,0,239,8
浙江省,1131,0,316,0
湖南省,946,0,283,2
安徽省,889,0,119,4
江西省,844,0,152,1
江苏省,543,0,117,0
重庆市,509,0,87,3
山东省,497,0,91,2
四川省,436,0,89,1
黑龙江省,378,0,28,8
北京市,352,0,56,3
上海市,311,0,57,1
福建省,272,0,48,0
河北省,251,0,50,2
陕西省,225,0,39,0
广西壮族自治区,222,0,31,1
云南省,154,0,22,0
海南省,151,0,20,3
贵州省,131,0,17,1
山西省,124,0,32,0
辽宁省,116,0,19,0
天津市,110,0,10,2
甘肃省,86,0,28,2
吉林省,83,0,20,1
内蒙古自治区,60,0,5,0
新疆维吾尔自治区,59,0,3,0
宁夏回族自治区,58,0,22,0
香港,49,0,0,1
台湾,18,0,1,0
青海省,18,0,9,0
澳门,10,0,1,0
西藏自治区,1,0,1,0
