省份,确诊,疑似,治愈,死亡
湖北省,65596,0,23383,2641
广东省,1347,0,890,7
山东省,756,0,384,6
浙江省,1205,0,932,1
四川省,534,0,321,3
湖南省,1017,0,804,4
安徽省,989,0,775,6
黑龙江省,480,0,270,13
河南省,1272,0,1062,20
重庆市,576,0,384,6
江西省,934,0,754,1
北京市,410,0,248,5
江苏省,631,0,496,0
广西壮族自治区,252,0,161,2
福建省,296,0,228,1
香港,92,0,24,2
上海市,337,0,276,3
陕西省,245,0,195,1
河北省,317,0,274,6
天津市,135,0,96,3
内蒙古自治区,75,0,39,0
贵州省,146,0,112,2
海南省,168,0,131,5
新疆维吾尔自治区,76,0,43,2
山西省,133,0,104,0
辽宁省,121,0,92,1
台湾,32,0,5,1
吉林省,93,0,67,1
云南省,174,0,150,2
甘肃省,91,0,81,2
宁夏回族自治区,72,0,68,0
澳门,10,0,8,0
青海省,18,0,18,0
西藏自治区,1,0,1,0
