省份,确诊,疑似,治愈,死亡
湖北省,56249,0,5666,1596
广东省,1316,0,465,2
河南省,1231,0,439,13
浙江省,1167,0,456,0
安徽省,962,0,255,6
江西省,925,0,240,1
湖南省,1004,0,464,3
江苏省,617,0,218,0
山东省,537,0,173,2
黑龙江省,445,0,78,11
重庆市,547,0,187,5
四川省,481,0,131,3
北京市,380,0,108,4
福建省,287,0,82,0
河北省,300,0,105,3
上海市,328,0,140,1
广西壮族自治区,237,0,49,2
陕西省,236,0,70,0
云南省,171,0,42,0
海南省,162,0,52,4
贵州省,144,0,46,1
辽宁省,121,0,40,1
山西省,128,0,49,0
天津市,124,0,45,3
内蒙古自治区,70,0,8,0
吉林省,89,0,30,1
新疆维吾尔自治区,71,0,12,1
香港,57,0,2,1
宁夏回族自治区,70,0,33,0
甘肃省,90,0,51,2
台湾,20,0,2,1
澳门,10,0,5,0
青海省,18,0,13,0
西藏自治区,1,0,1,0
