省份,确诊,疑似,治愈,死亡
湖北省,24953,0,1115,699
广东省,1075,0,97,1
浙江省,1048,0,127,0
河南省,981,0,97,4
湖南省,803,0,119,0
安徽省,733,0,47,0
江西省,698,0,55,0
江苏省,439,0,43,0
重庆市,426,0,31,2
山东省,407,0,38,0
四川省,363,0,50,1
北京市,297,0,33,1
黑龙江省,295,0,12,5
上海市,281,0,30,1
福建省,224,0,20,0
河北省,195,0,25,1
陕西省,184,0,17,0
广西壮族自治区,183,0,17,0
云南省,138,0,12,0
海南省,117,0,10,2
山西省,104,0,15,0
辽宁省,99,0,7,0
贵州省,89,0,6,1
天津市,81,0,2,1
甘肃省,71,0,9,1
吉林省,69,0,4,1
内蒙古自治区,50,0,5,0
宁夏回族自治区,45,0,3,0
新疆维吾尔自治区,39,0,0,0
香港,26,0,0,1
青海省,18,0,3,0
台湾,16,0,1,0
澳门,10,0,1,0
西藏自治区,1,0,0,0
