省份,确诊,疑似,治愈,死亡
湖北省,59989,0,7862,1789
广东省,1328,0,530,4
河南省,1257,0,509,19
安徽省,982,0,293,6
浙江省,1172,0,514,0
江西省,933,0,310,1
湖南省,1007,0,501,4
黑龙江省,464,0,85,11
江苏省,629,0,263,0
山东省,543,0,193,2
四川省,508,0,163,3
重庆市,553,0,225,5
北京市,381,0,114,4
福建省,292,0,91,0
广西壮族自治区,242,0,58,2
河北省,302,0,123,4
上海市,333,0,161,1
陕西省,240,0,79,0
云南省,172,0,47,0
海南省,163,0,59,4
贵州省,146,0,66,1
辽宁省,121,0,43,1
山西省,130,0,53,0
天津市,125,0,46,3
内蒙古自治区,72,0,8,0
新疆维吾尔自治区,76,0,12,1
香港,60,0,2,1
吉林省,89,0,34,1
宁夏回族自治区,70,0,35,0
甘肃省,91,0,58,2
台湾,22,0,2,1
澳门,10,0,5,0
青海省,18,0,13,0
西藏自治区,1,0,1,0
