省份,城市,确诊,疑似,治愈,死亡
湖北省,武汉,45660,0,7292,1774
湖北省,孝感,3429,0,917,98
湖北省,黄冈,2899,0,1408,95
湖北省,鄂州,1375,0,386,39
湖北省,荆州,1566,0,612,40
湖北省,随州,1296,0,443,29
湖北省,襄阳,1173,0,402,26
湖北省,宜昌,914,0,273,29
湖北省,荆门,914,0,296,37
湖北省,黄石,997,0,433,28
湖北省,咸宁,836,0,363,11
湖北省,十堰,659,0,239,2
湖北省,仙桃,571,0,231,19
湖北省,天门,493,0,198,12
湖北省,监狱系统,221,0,3,0
湖北省,恩施州,251,0,117,3
湖北省,潜江,189,0,67,8
湖北省,神农架林区,11,0,10,0
广东省,深圳,417,0,226,2
广东省,广州,343,0,190,0
广东省,东莞,93,0,31,1
广东省,佛山,84,0,34,0
广东省,珠海,98,0,52,1
广东省,中山,66,0,46,0
广东省,惠州,62,0,46,0
广东省,江门,23,0,9,0
广东省,湛江,22,0,12,0
广东省,肇庆,19,0,8,1
广东省,茂名,14,0,6,0
广东省,汕头,25,0,20,0
广东省,梅州,16,0,11,0
广东省,韶关,10,0,6,0
广东省,揭阳,8,0,4,0
广东省,阳江,13,0,10,0
广东省,汕尾,5,0,2,0
广东省,河源,4,0,1,0
广东省,清远,12,0,10,0
广东省,潮州,5,0,4,0
浙江省,温州,504,0,280,1
浙江省,台州,146,0,92,0
浙江省,宁波,157,0,106,0
浙江省,杭州,169,0,121,0
浙江省,省十里丰监狱,36,0,0,0
浙江省,嘉兴,45,0,23,0
浙江省,绍兴,42,0,22,0
浙江省,金华,55,0,39,0
浙江省,舟山,10,0,5,0
浙江省,衢州,14,0,10,0
浙江省,丽水,17,0,14,0
浙江省,湖州,10,0,7,0
山东省,济宁,253,0,30,0
山东省,烟台,47,0,18,0
山东省,潍坊,44,0,17,0
山东省,济南,47,0,22,0
山东省,青岛,59,0,34,1
山东省,德州,37,0,12,2
山东省,威海,38,0,21,0
山东省,聊城,38,0,22,0
山东省,淄博,30,0,14,0
山东省,泰安,35,0,19,1
山东省,枣庄,24,0,14,0
山东省,日照,16,0,9,0
山东省,临沂,49,0,44,0
山东省,滨州,15,0,11,0
山东省,菏泽,18,0,15,0
河南省,信阳,273,0,148,2
河南省,郑州,157,0,98,0
河南省,南阳,155,0,103,2
河南省,驻马店,139,0,111,0
河南省,周口,76,0,48,0
河南省,商丘,91,0,68,3
河南省,安阳,53,0,33,0
河南省,平顶山,58,0,39,1
河南省,焦作,32,0,15,1
河南省,许昌,39,0,26,0
河南省,漯河,35,0,22,0
河南省,洛阳,31,0,18,1
河南省,新乡,57,0,43,3
河南省,开封,26,0,16,0
河南省,鹤壁,19,0,9,0
