省份,确诊,疑似,治愈,死亡
湖北省,61682,0,9308,1921
广东省,1331,0,606,5
河南省,1262,0,573,19
安徽省,986,0,401,6
江西省,934,0,362,1
浙江省,1174,0,604,0
湖南省,1008,0,561,4
黑龙江省,470,0,120,12
四川省,514,0,186,3
江苏省,631,0,318,0
山东省,544,0,231,3
重庆市,555,0,254,5
北京市,393,0,145,4
福建省,293,0,112,0
河北省,306,0,143,4
广西壮族自治区,244,0,86,2
上海市,333,0,186,2
陕西省,242,0,102,0
云南省,173,0,60,1
海南省,163,0,84,4
贵州省,146,0,70,2
天津市,128,0,54,3
山西省,131,0,62,0
辽宁省,121,0,55,1
内蒙古自治区,75,0,10,0
香港,63,0,5,2
新疆维吾尔自治区,76,0,20,1
吉林省,90,0,37,1
宁夏回族自治区,71,0,42,0
甘肃省,91,0,63,2
台湾,23,0,2,1
澳门,10,0,5,0
青海省,18,0,16,0
西藏自治区,1,0,1,0
