省份,城市,确诊,疑似,治愈,死亡
湖北省,武汉,19558,0,1379,820
湖北省,孝感,2751,0,179,45
湖北省,黄冈,2398,0,338,54
湖北省,随州,1129,0,56,12
湖北省,荆州,1110,0,80,21
湖北省,襄阳,1088,0,60,12
湖北省,黄石,874,0,96,6
湖北省,鄂州,861,0,72,28
湖北省,宜昌,784,0,62,8
湖北省,荆门,696,0,81,24
湖北省,十堰,536,0,70,1
湖北省,咸宁,525,0,65,6
湖北省,仙桃,460,0,43,13
湖北省,天门,293,0,12,10
湖北省,恩施州,203,0,38,3
湖北省,潜江,90,0,8,5
湖北省,神农架林区,10,0,7,0
广东省,深圳,386,0,81,0
广东省,广州,323,0,71,0
广东省,珠海,87,0,21,0
广东省,佛山,78,0,15,0
广东省,东莞,67,0,7,0
广东省,中山,62,0,21,0
广东省,惠州,54,0,4,0
广东省,汕头,25,0,7,0
广东省,湛江,21,0,9,0
广东省,江门,21,0,4,0
广东省,肇庆,16,0,7,1
广东省,阳江,13,0,1,0
广东省,梅州,13,0,4,0
广东省,茂名,13,0,1,0
广东省,清远,12,0,5,0
广东省,揭阳,8,0,3,0
广东省,韶关,7,0,3,0
广东省,汕尾,5,0,1,0
广东省,潮州,5,0,0,0
广东省,河源,3,0,1,0
河南省,信阳,231,0,38,0
河南省,南阳,138,0,35,2
河南省,郑州,137,0,44,0
河南省,驻马店,128,0,31,0
河南省,商丘,86,0,14,0
河南省,周口,66,0,20,0
河南省,平顶山,55,0,15,1
河南省,新乡,53,0,7,1
河南省,安阳,49,0,10,0
河南省,许昌,34,0,2,0
河南省,漯河,33,0,6,0
河南省,洛阳,29,0,2,0
河南省,焦作,28,0,5,1
河南省,开封,25,0,2,0
河南省,鹤壁,19,0,4,0
河南省,濮阳,13,0,1,0
河南省,三门峡,7,0,3,0
河南省,济源,4,0,0,0
河南省,待明确地区,0,0,0,3
浙江省,温州,481,0,118,0
浙江省,杭州,159,0,67,0
浙江省,宁波,153,0,25,0
浙江省,台州,143,0,46,0
浙江省,金华,54,0,20,0
浙江省,嘉兴,42,0,6,0
浙江省,绍兴,41,0,13,0
浙江省,衢州,21,0,5,0
浙江省,丽水,17,0,7,0
浙江省,舟山,10,0,5,0
浙江省,湖州,10,0,4,0
湖南省,长沙,223,0,56,0
湖南省,岳阳,146,0,24,1
湖南省,邵阳,94,0,30,1
湖南省,常德,75,0,24,0
湖南省,株洲,71,0,12,0
湖南省,娄底,69,0,18,0
湖南省,益阳,58,0,22,0
湖南省,衡阳,45,0,23,0
湖南省,永州,43,0,18,0
湖南省,怀化,39,0,21,0
湖南省,郴州,38,0,15,0
湖南省,湘潭,32,0,11,0
湖南省,湘西自治州,8,0,6,0
湖南省,张家界,5,0,3,0
安徽省,合肥,157,0,24,1
安徽省,蚌埠,141,0,2,3
安徽省,阜阳,138,0,17,0
安徽省,亳州,97,0,12,0
安徽省,安庆,80,0,15,0
安徽省,六安,59,0,3,0
安徽省,宿州,36,0,4,0
安徽省,马鞍山,32,0,6,0
安徽省,芜湖,31,0,4,0
安徽省,铜陵,27,0,9,0
安徽省,淮北,24,0,5,0
安徽省,淮南,24,0,6,0
安徽省,池州,16,0,3,0
安徽省,滁州,12,0,4,0
安徽省,黄山,9,0,1,0
安徽省,宣城,6,0,4,0
江西省,南昌,204,0,53,0
江西省,新余,117,0,26,0
江西省,上饶,116,0,15,0
江西省,九江,105,0,14,0
江西省,宜春,88,0,16,0
江西省,赣州,72,0,8,1
江西省,抚州,68,0,11,0
江西省,萍乡,29,0,2,0
江西省,吉安,21,0,5,0
江西省,鹰潭,18,0,1,0
江西省,景德镇,5,0,1,0
江西省,赣江新区,1,0,0,0
江苏省,南京,87,0,22,0
江苏省,苏州,84,0,16,0
江苏省,徐州,66,0,10,0
江苏省,无锡,48,0,9,0
江苏省,淮安,47,0,6,0
江苏省,连云港,39,0,5,0
江苏省,南通,37,0,11,0
江苏省,常州,36,0,12,0
江苏省,泰州,36,0,6,0
江苏省,盐城,21,0,6,0
江苏省,扬州,18,0,6,0
江苏省,镇江,12,0,2,0
江苏省,宿迁,12,0,6,0
重庆市,万州区,102,0,15,1
重庆市,江北区,25,0,2,0
重庆市,云阳县,21,0,11,0
重庆市,九龙坡区,20,0,1,1
重庆市,合川区,20,0,3,0
重庆市,开州区,20,0,11,1
重庆市,垫江县,20,0,1,0
重庆市,渝中区,20,0,1,0
重庆市,忠县,19,0,7,0
重庆市,綦江区,18,0,0,0
重庆市,奉节县,17,0,2,0
重庆市,长寿区,16,0,3,0
重庆市,两江新区,16,0,2,0
重庆市,渝北区,15,0,2,0
重庆市,潼南区,15,0,0,0
重庆市,大足区,14,0,1,0
重庆市,石柱县,14,0,3,0
重庆市,巫溪县,13,0,6,0
重庆市,丰都县,10,0,1,0
重庆市,巫山县,10,0,4,0
重庆市,南岸区,10,0,0,0
重庆市,璧山区,8,0,1,0
重庆市,铜梁区,8,0,0,0
重庆市,荣昌区,8,0,0,0
重庆市,沙坪坝区,8,0,0,0
重庆市,大渡口区,7,0,1,0
重庆市,巴南区,5,0,1,0
重庆市,永川区,5,0,1,0
重庆市,江津区,4,0,1,0
重庆市,梁平区,4,0,2,0
重庆市,高新区,4,0,0,0
重庆市,涪陵区,3,0,0,0
重庆市,城口县,2,0,1,0
重庆市,黔江区,2,0,2,0
重庆市,彭水县,2,0,0,0
重庆市,秀山县,1,0,1,0
重庆市,武隆区,1,0,0,0
重庆市,酉阳县,1,0,0,0
重庆市,万盛经开区,1,0,0,0
山东省,青岛,53,0,13,1
山东省,济南,47,0,7,0
山东省,临沂,45,0,10,0
山东省,烟台,43,0,3,0
山东省,济宁,42,0,12,0
山东省,威海,38,0,9,0
山东省,潍坊,38,0,4,0
山东省,聊城,38,0,3,0
山东省,德州,33,0,6,1
山东省,泰安,32,0,4,0
山东省,枣庄,23,0,4,0
山东省,淄博,20,0,1,0
山东省,菏泽,18,0,7,0
山东省,日照,15,0,2,0
山东省,滨州,12,0,6,0
四川省,成都,125,0,41,1
四川省,甘孜州,36,0,3,0
四川省,南充,34,0,5,0
四川省,达州,33,0,5,0
四川省,广安,30,0,3,0
四川省,绵阳,22,0,4,0
四川省,巴中,22,0,1,0
四川省,内江,20,0,2,0
四川省,泸州,19,0,2,0
四川省,德阳,16,0,0,0
四川省,攀枝花,13,0,8,0
四川省,遂宁,10,0,4,0
四川省,宜宾,10,0,3,0
四川省,凉山州,10,0,1,0
四川省,自贡,9,0,2,0
四川省,眉山,8,0,1,0
四川省,雅安,6,0,2,0
四川省,广元,6,0,1,0
四川省,乐山,3,0,0,0
四川省,资阳,3,0,1,0
四川省,阿坝州,1,0,0,0
黑龙江省,哈尔滨,150,0,15,0
黑龙江省,绥化,43,0,3,4
黑龙江省,鸡西,43,0,1,0
黑龙江省,双鸭山,39,0,1,2
黑龙江省,齐齐哈尔,33,0,1,1
黑龙江省,大庆,15,0,0,1
黑龙江省,佳木斯,15,0,5,0
黑龙江省,七台河,15,0,0,0
黑龙江省,牡丹江,12,0,1,0
黑龙江省,黑河,6,0,0,0
黑龙江省,鹤岗,5,0,1,0
黑龙江省,大兴安岭,2,0,0,0
北京市,朝阳区,56,0,0,0
北京市,海淀区,56,0,0,0
北京市,西城区,43,0,0,0
北京市,大兴区,37,0,2,0
北京市,丰台区,32,0,3,0
北京市,外地来京人员,25,0,2,0
北京市,昌平区,19,0,0,0
北京市,通州区,17,0,1,0
北京市,房山区,14,0,0,0
北京市,石景山区,13,0,0,0
北京市,东城区,12,0,0,0
北京市,顺义区,10,0,0,0
北京市,怀柔区,7,0,0,0
北京市,密云区,7,0,0,0
北京市,门头沟区,3,0,0,0
北京市,延庆区,1,0,0,0
北京市,待明确地区,0,0,48,3
上海市,外地来沪人员,99,0,26,1
上海市,浦东新区,56,0,12,0
上海市,宝山区,20,0,0,0
上海市,闵行区,18,0,3,0
上海市,徐汇区,17,0,2,0
上海市,静安区,16,0,3,0
上海市,松江区,14,0,1,0
上海市,长宁区,12,0,3,0
上海市,普陀区,11,0,0,0
上海市,奉贤区,9,0,1,0
上海市,杨浦区,8,0,0,0
上海市,嘉定区,8,0,1,0
上海市,虹口区,7,0,2,0
上海市,黄浦区,6,0,1,0
上海市,青浦区,5,0,2,0
上海市,金山区,3,0,0,0
上海市,崇明区,2,0,0,0
福建省,福州,64,0,15,0
福建省,莆田,52,0,6,0
福建省,泉州,43,0,11,0
福建省,厦门,32,0,4,0
福建省,宁德,24,0,4,0
福建省,漳州,19,0,3,0
福建省,南平,19,0,3,0
福建省,三明,13,0,1,0
福建省,龙岩,6,0,1,0
河北省,沧州,37,0,12,1
河北省,唐山,33,0,3,0
河北省,保定,31,0,9,0
河北省,邯郸,29,0,3,0
河北省,廊坊,28,0,8,0
河北省,石家庄,27,0,3,0
河北省,邢台,21,0,5,1
河北省,张家口,21,0,3,0
河北省,秦皇岛,9,0,1,0
河北省,衡水,8,0,2,0
河北省,承德,7,0,1,0
陕西省,西安,110,0,12,0
陕西省,安康,22,0,5,0
陕西省,汉中,21,0,1,0
陕西省,咸阳,17,0,4,0
陕西省,渭南,14,0,0,0
陕西省,宝鸡,13,0,5,0
陕西省,延安,8,0,2,0
陕西省,铜川,8,0,4,0
陕西省,商洛,7,0,1,0
陕西省,榆林,3,0,1,0
陕西省,韩城,1,0,0,0
陕西省,杨凌,1,0,0,0
陕西省,待明确地区,0,0,4,0
广西壮族自治区,南宁,44,0,9,0
广西壮族自治区,北海,39,0,4,0
广西壮族自治区,桂林,31,0,5,0
广西壮族自治区,柳州,22,0,6,0
广西壮族自治区,河池,21,0,0,1
广西壮族自治区,防城港,17,0,1,0
广西壮族自治区,来宾,11,0,0,0
广西壮族自治区,玉林,9,0,1,0
广西壮族自治区,钦州,8,0,0,0
广西壮族自治区,贵港,8,0,0,0
广西壮族自治区,梧州,5,0,5,0
广西壮族自治区,贺州,4,0,0,0
广西壮族自治区,百色,3,0,0,0
云南省,昆明,46,0,7,0
云南省,西双版纳,15,0,2,0
云南省,玉溪,14,0,3,0
云南省,昭通,14,0,2,0
云南省,曲靖,13,0,1,0
云南省,大理州,13,0,2,0
云南省,保山,9,0,0,0
云南省,丽江,7,0,2,0
云南省,红河州,7,0,3,0
云南省,德宏州,5,0,0,0
云南省,普洱,4,0,0,0
云南省,楚雄州,4,0,0,0
云南省,文山州,2,0,0,0
云南省,临沧,1,0,0,0
海南省,三亚,46,0,11,1
海南省,海口,29,0,5,0
海南省,万宁,13,0,0,0
海南省,儋州,11,0,1,0
海南省,澄迈,8,0,1,1
海南省,临高,6,0,1,0
海南省,琼海,6,0,0,1
海南省,昌江,6,0,0,0
海南省,陵水,4,0,0,0
海南省,东方,3,0,0,0
海南省,定安,3,0,0,0
海南省,文昌,3,0,0,0
海南省,保亭,3,0,0,0
