省份,确诊,疑似,治愈,死亡
湖北省,31728,0,2258,974
广东省,1177,0,208,1
浙江省,1117,0,255,0
河南省,1105,0,209,7
湖南省,912,0,231,1
安徽省,860,0,100,4
江西省,804,0,127,1
江苏省,515,0,93,0
重庆市,489,0,72,2
山东省,487,0,78,1
四川省,417,0,82,1
黑龙江省,360,0,27,8
北京市,342,0,48,3
上海市,303,0,52,1
福建省,267,0,39,0
河北省,239,0,42,2
陕西省,219,0,32,0
广西壮族自治区,215,0,30,1
云南省,153,0,20,0
海南省,142,0,20,3
山西省,122,0,28,0
贵州省,118,0,10,1
辽宁省,108,0,17,0
天津市,104,0,8,2
甘肃省,86,0,21,2
吉林省,81,0,18,1
内蒙古自治区,58,0,5,0
新疆维吾尔自治区,55,0,3,0
宁夏回族自治区,53,0,14,0
香港,42,0,0,1
台湾,18,0,1,0
青海省,18,0,3,0
澳门,10,0,1,0
西藏自治区,1,0,0,0
