省份,城市,确诊,疑似,治愈,死亡
湖北省,武汉,14982,0,877,608
湖北省,孝感,2436,0,45,29
湖北省,黄冈,2141,0,137,43
湖北省,荆州,997,0,41,13
湖北省,襄阳,988,0,40,7
湖北省,随州,984,0,23,9
湖北省,黄石,760,0,54,2
湖北省,宜昌,711,0,36,8
湖北省,荆门,663,0,48,19
湖北省,鄂州,639,0,42,21
湖北省,咸宁,493,0,23,4
湖北省,十堰,467,0,40,0
湖北省,仙桃,379,0,16,5
湖北省,天门,197,0,1,10
湖北省,恩施州,171,0,20,0
湖北省,潜江,82,0,2,2
湖北省,神农架林区,10,0,2,0
广东省,深圳,364,0,39,0
广东省,广州,304,0,36,0
广东省,珠海,83,0,4,0
广东省,佛山,65,0,4,0
广东省,东莞,58,0,2,0
广东省,中山,51,0,14,0
广东省,惠州,47,0,1,0
广东省,汕头,25,0,4,0
广东省,湛江,21,0,6,0
广东省,江门,17,0,1,0
广东省,肇庆,14,0,3,1
广东省,阳江,13,0,1,0
广东省,梅州,13,0,4,0
广东省,清远,10,0,3,0
广东省,茂名,9,0,1,0
广东省,揭阳,7,0,1,0
广东省,韶关,6,0,2,0
广东省,汕尾,5,0,1,0
广东省,潮州,5,0,0,0
广东省,河源,3,0,0,0
浙江省,温州,448,0,71,0
浙江省,杭州,165,0,41,0
浙江省,宁波,146,0,13,0
浙江省,台州,138,0,25,0
浙江省,金华,53,0,13,0
浙江省,嘉兴,38,0,1,0
浙江省,绍兴,38,0,8,0
浙江省,丽水,17,0,5,0
浙江省,衢州,15,0,3,0
浙江省,湖州,10,0,1,0
浙江省,舟山,7,0,5,0
河南省,信阳,205,0,24,0
河南省,南阳,133,0,23,2
河南省,郑州,126,0,31,0
河南省,驻马店,116,0,14,0
河南省,商丘,82,0,5,0
河南省,周口,62,0,10,0
河南省,平顶山,50,0,6,1
河南省,新乡,44,0,6,0
河南省,安阳,44,0,3,0
河南省,许昌,31,0,2,0
河南省,漯河,30,0,5,0
河南省,洛阳,25,0,2,0
河南省,开封,24,0,1,0
河南省,焦作,24,0,1,0
河南省,鹤壁,17,0,0,0
河南省,濮阳,9,0,0,0
河南省,三门峡,7,0,3,0
河南省,济源,4,0,0,0
河南省,待明确地区,0,0,0,3
湖南省,长沙,205,0,33,0
湖南省,岳阳,115,0,10,1
湖南省,邵阳,87,0,18,0
湖南省,常德,66,0,15,0
湖南省,娄底,64,0,8,0
湖南省,株洲,58,0,9,0
湖南省,益阳,46,0,10,0
湖南省,衡阳,45,0,14,0
湖南省,永州,40,0,10,0
湖南省,怀化,39,0,15,0
湖南省,郴州,32,0,8,0
湖南省,湘潭,28,0,10,0
湖南省,湘西自治州,8,0,3,0
湖南省,张家界,5,0,2,0
安徽省,合肥,136,0,11,0
安徽省,阜阳,118,0,13,0
安徽省,蚌埠,115,0,1,1
安徽省,亳州,87,0,5,0
安徽省,安庆,75,0,12,0
安徽省,六安,54,0,2,0
安徽省,马鞍山,31,0,2,0
安徽省,芜湖,29,0,3,0
安徽省,宿州,28,0,2,0
安徽省,铜陵,24,0,7,0
安徽省,淮北,23,0,1,0
安徽省,淮南,22,0,3,0
安徽省,池州,12,0,1,0
安徽省,滁州,11,0,2,0
安徽省,黄山,9,0,1,0
安徽省,宣城,5,0,2,0
江西省,南昌,179,0,27,0
江西省,九江,100,0,6,0
江西省,新余,100,0,13,0
江西省,上饶,98,0,7,0
江西省,宜春,74,0,6,0
江西省,赣州,69,0,2,0
江西省,抚州,63,0,7,0
江西省,萍乡,24,0,1,0
江西省,吉安,17,0,1,0
江西省,鹰潭,11,0,1,0
江西省,景德镇,5,0,1,0
江苏省,苏州,75,0,11,0
江苏省,南京,71,0,20,0
江苏省,徐州,56,0,8,0
江苏省,淮安,44,0,5,0
江苏省,无锡,38,0,3,0
江苏省,连云港,32,0,4,0
江苏省,南通,32,0,2,0
江苏省,常州,31,0,6,0
江苏省,泰州,30,0,4,0
江苏省,扬州,18,0,2,0
江苏省,盐城,17,0,3,0
江苏省,镇江,12,0,1,0
江苏省,宿迁,12,0,0,0
重庆市,万州区,84,0,8,1
重庆市,江北区,23,0,1,0
重庆市,云阳县,20,0,9,0
重庆市,渝中区,20,0,1,0
重庆市,九龙坡区,19,0,1,1
重庆市,垫江县,19,0,1,0
重庆市,开州区,18,0,5,0
重庆市,合川区,17,0,1,0
重庆市,忠县,16,0,3,0
重庆市,两江新区,16,0,0,0
重庆市,长寿区,15,0,2,0
重庆市,綦江区,15,0,0,0
重庆市,奉节县,14,0,1,0
重庆市,潼南区,13,0,0,0
重庆市,渝北区,12,0,2,0
重庆市,巫溪县,12,0,2,0
重庆市,石柱县,12,0,0,0
重庆市,大足区,10,0,0,0
重庆市,丰都县,9,0,1,0
重庆市,璧山区,8,0,0,0
重庆市,铜梁区,8,0,0,0
重庆市,巫山县,8,0,4,0
重庆市,南岸区,8,0,0,0
重庆市,荣昌区,8,0,0,0
重庆市,大渡口区,7,0,1,0
重庆市,永川区,5,0,1,0
重庆市,江津区,4,0,1,0
重庆市,梁平区,4,0,1,0
重庆市,高新区,4,0,0,0
重庆市,涪陵区,3,0,0,0
重庆市,巴南区,3,0,0,0
重庆市,城口县,2,0,1,0
重庆市,黔江区,2,0,0,0
重庆市,沙坪坝区,2,0,0,0
重庆市,彭水县,2,0,0,0
重庆市,秀山县,1,0,1,0
重庆市,武隆区,1,0,0,0
重庆市,酉阳县,1,0,0,0
重庆市,万盛经开区,1,0,0,0
山东省,青岛,47,0,8,1
山东省,济南,42,0,7,0
山东省,临沂,40,0,4,0
山东省,济宁,39,0,8,0
山东省,烟台,36,0,2,0
山东省,威海,34,0,8,0
山东省,潍坊,34,0,1,0
山东省,聊城,33,0,2,0
山东省,德州,30,0,4,0
山东省,泰安,23,0,1,0
山东省,枣庄,21,0,1,0
山东省,淄博,16,0,1,0
山东省,日照,15,0,2,0
山东省,菏泽,14,0,3,0
山东省,滨州,11,0,4,0
四川省,成都,120,0,35,1
四川省,南充,32,0,2,0
四川省,广安,28,0,3,0
四川省,达州,25,0,5,0
四川省,巴中,21,0,1,0
四川省,绵阳,20,0,3,0
四川省,内江,17,0,2,0
四川省,甘孜州,17,0,0,0
四川省,德阳,16,0,0,0
四川省,泸州,16,0,2,0
四川省,攀枝花,13,0,3,0
四川省,自贡,9,0,2,0
四川省,宜宾,9,0,0,0
四川省,凉山州,9,0,0,0
四川省,遂宁,8,0,2,0
四川省,眉山,7,0,1,0
四川省,雅安,6,0,1,0
四川省,广元,6,0,1,0
四川省,乐山,3,0,0,0
四川省,资阳,3,0,0,0
四川省,阿坝州,1,0,0,0
北京市,朝阳区,55,0,0,0
北京市,海淀区,52,0,0,0
北京市,西城区,38,0,0,0
北京市,大兴区,35,0,2,0
北京市,丰台区,27,0,3,0
北京市,外地来京人员,24,0,2,0
北京市,昌平区,17,0,0,0
北京市,通州区,16,0,1,0
北京市,房山区,14,0,0,0
北京市,石景山区,13,0,0,0
北京市,顺义区,10,0,0,0
北京市,东城区,9,0,0,0
北京市,怀柔区,7,0,0,0
北京市,密云区,5,0,0,0
北京市,门头沟区,3,0,0,0
北京市,延庆区,1,0,0,0
北京市,待明确地区,0,0,29,2
黑龙江省,哈尔滨,114,0,9,0
黑龙江省,双鸭山,38,0,1,2
黑龙江省,绥化,35,0,1,3
黑龙江省,鸡西,34,0,0,0
黑龙江省,齐齐哈尔,27,0,0,0
黑龙江省,大庆,13,0,0,1
黑龙江省,佳木斯,13,0,1,0
黑龙江省,七台河,13,0,0,0
黑龙江省,牡丹江,12,0,1,0
黑龙江省,鹤岗,4,0,0,0
黑龙江省,大兴安岭,2,0,0,0
黑龙江省,黑河,2,0,0,0
上海市,外地来沪人员,97,0,20,1
上海市,浦东新区,56,0,8,0
上海市,宝山区,17,0,0,0
上海市,静安区,16,0,3,0
上海市,徐汇区,16,0,1,0
上海市,闵行区,14,0,2,0
上海市,松江区,14,0,0,0
上海市,长宁区,11,0,1,0
上海市,奉贤区,9,0,1,0
上海市,普陀区,8,0,0,0
上海市,虹口区,7,0,1,0
上海市,杨浦区,7,0,0,0
上海市,嘉定区,7,0,1,0
上海市,青浦区,5,0,2,0
上海市,黄浦区,5,0,1,0
上海市,金山区,2,0,0,0
上海市,崇明区,2,0,0,0
福建省,福州,62,0,10,0
福建省,莆田,47,0,1,0
福建省,泉州,42,0,4,0
福建省,厦门,25,0,2,0
福建省,宁德,23,0,4,0
福建省,漳州,16,0,3,0
福建省,南平,16,0,1,0
福建省,三明,13,0,1,0
福建省,龙岩,6,0,0,0
陕西省,西安,96,0,10,0
陕西省,安康,21,0,5,0
陕西省,汉中,21,0,0,0
陕西省,咸阳,16,0,2,0
陕西省,宝鸡,13,0,2,0
陕西省,渭南,13,0,0,0
陕西省,延安,8,0,1,0
陕西省,铜川,8,0,4,0
陕西省,商洛,7,0,1,0
陕西省,榆林,3,0,0,0
陕西省,韩城,1,0,0,0
陕西省,杨凌,1,0,0,0
河北省,沧州,28,0,6,1
河北省,邯郸,27,0,2,0
河北省,唐山,27,0,2,0
河北省,石家庄,24,0,3,0
河北省,廊坊,22,0,4,0
河北省,保定,21,0,8,0
河北省,邢台,21,0,4,1
河北省,张家口,14,0,1,0
河北省,衡水,8,0,0,0
河北省,承德,7,0,0,0
河北省,秦皇岛,7,0,0,0
广西壮族自治区,南宁,35,0,2,0
广西壮族自治区,北海,33,0,3,0
广西壮族自治区,桂林,29,0,5,0
广西壮族自治区,柳州,20,0,3,0
广西壮族自治区,河池,19,0,0,1
广西壮族自治区,防城港,16,0,1,0
广西壮族自治区,玉林,9,0,1,0
广西壮族自治区,钦州,8,0,0,0
广西壮族自治区,贵港,7,0,0,0
广西壮族自治区,来宾,7,0,0,0
广西壮族自治区,梧州,5,0,3,0
广西壮族自治区,贺州,4,0,0,0
广西壮族自治区,百色,3,0,0,0
云南省,昆明,41,0,6,0
云南省,西双版纳,15,0,2,0
云南省,玉溪,14,0,2,0
云南省,昭通,12,0,1,0
云南省,曲靖,11,0,1,0
云南省,大理,11,0,2,0
云南省,保山,9,0,0,0
云南省,丽江,7,0,1,0
云南省,红河,5,0,1,0
云南省,德宏,5,0,0,0
云南省,普洱,4,0,0,0
云南省,楚雄,4,0,0,0
云南省,临沧,1,0,0,0
云南省,文山,1,0,0,0
云南省,待明确地区,0,0,1,0
海南省,三亚,40,0,10,1
海南省,海口,23,0,2,0
海南省,万宁,12,0,0,0
海南省,儋州,11,0,1,0
海南省,澄迈,7,0,1,1
海南省,琼海,6,0,0,0
海南省,临高,5,0,0,0
海南省,昌江,5,0,0,0
海南省,陵水,4,0,0,0
海南省,东方,3,0,0,0
海南省,定安,3,0,0,0
海南省,文昌,3,0,0,0
海南省,保亭,3,0,0,0
海南省,乐东,2,0,0,0
海南省,琼中,1,0,1,0
山西省,晋中,32,0,6,0
山西省,运城,18,0,4,0
山西省,太原,15,0,1,0
山西省,大同,11,0,3,0
山西省,晋城,8,0,2,0
山西省,长治,7,0,0,0
山西省,朔州,6,0,1,0
山西省,吕梁,6,0,3,0
山西省,忻州,6,0,0,0
山西省,阳泉,4,0,0,0
山西省,临汾,2,0,1,0
辽宁省,沈阳,26,0,3,0
辽宁省,大连,16,0,3,0
辽宁省,盘锦,11,0,0,0
辽宁省,锦州,10,0,1,0
辽宁省,葫芦岛,9,0,0,0
辽宁省,丹东,7,0,1,0
辽宁省,阜新,7,0,0,0
辽宁省,朝阳,6,0,0,0
辽宁省,本溪,3,0,0,0
辽宁省,铁岭,3,0,0,0
辽宁省,辽阳,3,0,0,0
辽宁省,鞍山,3,0,0,0
辽宁省,营口,1,0,0,0
贵州省,贵阳,22,0,1,0
贵州省,毕节,21,0,0,0
贵州省,遵义,15,0,1,0
贵州省,六盘水,10,0,0,1
贵州省,铜仁,7,0,2,0
贵州省,黔南州,7,0,3,0
贵州省,黔东南州,6,0,0,0
贵州省,黔西南州,4,0,0,0
贵州省,安顺,4,0,0,0
天津市,宝坻区,31,0,0,1
天津市,河东区,10,0,1,0
天津市,河北区,10,0,1,0
天津市,和平区,6,0,1,0
天津市,外地来津人员,6,0,0,0
天津市,河西区,4,0,0,0
天津市,西青区,4,0,0,0
天津市,宁河区,4,0,0,0
天津市,东丽区,4,0,0,0
天津市,滨海新区,3,0,0,0
天津市,南开区,3,0,0,0
天津市,红桥区,2,0,1,0
天津市,津南区,1,0,0,0
天津市,北辰区,1,0,0,0
天津市,武清区,1,0,0,0
甘肃省,兰州,33,0,5,1
甘肃省,天水,12,0,1,0
甘肃省,定西,8,0,1,0
甘肃省,甘南,6,0,0,0
甘肃省,陇南,4,0,0,0
甘肃省,白银,4,0,0,0
甘肃省,平凉,4,0,0,0
甘肃省,临夏,3,0,2,0
甘肃省,张掖,2,0,0,0
甘肃省,庆阳,2,0,0,0
甘肃省,金昌,1,0,0,0
甘肃省,待明确地区,0,0,3,0
吉林省,长春,37,0,1,0
吉林省,四平市,12,0,0,1
吉林省,公主岭,6,0,1,0
吉林省,辽源,6,0,0,0
吉林省,吉林市,5,0,2,0
吉林省,延边,5,0,0,0
吉林省,通化,3,0,0,0
吉林省,松原,2,0,1,0
吉林省,梅河口,1,0,0,0
吉林省,白城,1,0,0,0
内蒙古自治区,鄂尔多斯,11,0,2,0
内蒙古自治区,包头,10,0,0,0
内蒙古自治区,呼和浩特,7,0,0,0
内蒙古自治区,巴彦淖尔,6,0,0,0
内蒙古自治区,呼伦贝尔,5,0,1,0
内蒙古自治区,赤峰,4,0,1,0
内蒙古自治区,通辽,3,0,0,0
内蒙古自治区,乌兰察布,3,0,0,0
内蒙古自治区,锡林郭勒盟,2,0,1,0
内蒙古自治区,乌海市,2,0,0,0
内蒙古自治区,兴安盟,1,0,0,0
宁夏回族自治区,银川,28,0,5,0
宁夏回族自治区,吴忠,10,0,4,0
宁夏回族自治区,中卫,3,0,2,0
宁夏回族自治区,固原,2,0,2,0
宁夏回族自治区,宁东,1,0,0,0
宁夏回族自治区,石嘴山,1,0,0,0
新疆维吾尔自治区,乌鲁木齐,20,0,0,0
新疆维吾尔自治区,伊犁州,10,0,0,0
