省份,确诊,疑似,治愈,死亡
湖北省,29631,0,1822,871
广东省,1159,0,163,1
浙江省,1092,0,239,0
河南省,1073,0,187,6
湖南省,879,0,201,1
安徽省,830,0,88,3
江西省,771,0,102,1
江苏省,492,0,80,0
重庆市,473,0,60,2
山东省,466,0,66,1
四川省,405,0,80,1
北京市,337,0,44,2
黑龙江省,331,0,30,7
上海市,299,0,48,1
福建省,261,0,36,0
河北省,218,0,41,2
陕西省,213,0,27,0
广西壮族自治区,210,0,18,1
云南省,149,0,19,0
海南省,138,0,19,3
山西省,119,0,25,0
贵州省,109,0,7,1
辽宁省,108,0,12,0
天津市,94,0,4,1
甘肃省,83,0,17,2
吉林省,80,0,12,1
内蒙古自治区,58,0,5,0
宁夏回族自治区,49,0,13,0
新疆维吾尔自治区,49,0,0,0
香港,38,0,0,1
台湾,18,0,1,0
青海省,18,0,3,0
澳门,10,0,1,0
西藏自治区,1,0,0,0
