省份,城市,确诊,疑似,治愈,死亡
湖北省,武汉,45027,0,5598,1585
湖北省,孝感,3329,0,674,89
湖北省,黄冈,2839,0,1149,87
湖北省,荆州,1510,0,451,40
湖北省,鄂州,1338,0,350,38
湖北省,随州,1283,0,309,27
湖北省,襄阳,1167,0,294,23
湖北省,宜昌,891,0,231,27
湖北省,黄石,967,0,331,26
湖北省,荆门,794,0,201,34
湖北省,咸宁,766,0,268,10
湖北省,十堰,641,0,187,2
湖北省,仙桃,567,0,184,19
湖北省,天门,473,0,133,12
湖北省,恩施州,244,0,102,3
湖北省,潜江,185,0,49,7
湖北省,神农架林区,10,0,10,0
广东省,深圳,416,0,199,2
广东省,广州,339,0,157,0
广东省,东莞,92,0,26,1
广东省,珠海,98,0,45,1
广东省,佛山,84,0,33,0
广东省,中山,66,0,42,0
广东省,惠州,62,0,38,0
广东省,江门,23,0,9,0
广东省,湛江,22,0,12,0
广东省,肇庆,18,0,8,1
广东省,茂名,14,0,6,0
广东省,梅州,16,0,10,0
广东省,汕头,25,0,20,0
广东省,韶关,10,0,5,0
广东省,揭阳,8,0,4,0
广东省,阳江,13,0,10,0
广东省,清远,12,0,9,0
广东省,汕尾,5,0,2,0
广东省,河源,4,0,1,0
广东省,潮州,5,0,4,0
广东省,待明确地区,0,0,2,0
河南省,信阳,269,0,95,2
河南省,南阳,155,0,66,2
河南省,郑州,156,0,92,0
河南省,驻马店,139,0,95,0
河南省,周口,76,0,34,0
河南省,商丘,91,0,50,3
河南省,新乡,57,0,26,3
河南省,安阳,53,0,29,0
河南省,许昌,39,0,16,0
河南省,平顶山,58,0,35,1
河南省,焦作,32,0,9,1
河南省,洛阳,31,0,15,1
河南省,漯河,35,0,21,0
河南省,开封,26,0,13,0
河南省,鹤壁,19,0,8,0
河南省,濮阳,17,0,7,0
河南省,三门峡,7,0,5,0
河南省,济源,5,0,3,0
河南省,待明确地区,0,0,18,6
浙江省,温州,504,0,245,1
浙江省,台州,146,0,77,0
浙江省,宁波,156,0,91,0
浙江省,杭州,169,0,109,0
浙江省,嘉兴,45,0,20,0
浙江省,绍兴,42,0,20,0
浙江省,金华,55,0,36,0
浙江省,衢州,21,0,10,0
浙江省,舟山,10,0,5,0
浙江省,湖州,10,0,6,0
浙江省,丽水,17,0,14,0
安徽省,蚌埠,160,0,40,5
安徽省,合肥,173,0,83,1
安徽省,阜阳,155,0,79,0
安徽省,亳州,108,0,65,0
安徽省,六安,69,0,30,0
安徽省,安庆,83,0,53,0
安徽省,马鞍山,37,0,15,0
安徽省,宿州,41,0,22,0
安徽省,铜陵,29,0,12,0
安徽省,淮南,27,0,12,0
安徽省,淮北,27,0,14,0
安徽省,芜湖,33,0,21,0
安徽省,池州,17,0,10,0
安徽省,滁州,13,0,8,0
安徽省,黄山,9,0,6,0
安徽省,宣城,6,0,4,0
江西省,南昌,229,0,133,0
江西省,九江,118,0,44,0
江西省,上饶,123,0,55,0
江西省,宜春,106,0,42,0
江西省,新余,130,0,69,0
江西省,赣州,76,0,28,1
江西省,抚州,72,0,35,0
江西省,萍乡,33,0,9,0
江西省,鹰潭,18,0,4,0
江西省,吉安,22,0,11,0
江西省,景德镇,6,0,3,0
江西省,赣江新区,1,0,0,0
湖南省,长沙,242,0,125,2
湖南省,岳阳,156,0,72,1
湖南省,株洲,78,0,46,0
湖南省,常德,79,0,52,0
湖南省,娄底,76,0,51,0
湖南省,邵阳,102,0,77,1
湖南省,湘潭,35,0,17,0
湖南省,永州,43,0,30,0
湖南省,益阳,59,0,48,0
湖南省,衡阳,48,0,37,0
湖南省,郴州,39,0,29,0
湖南省,怀化,40,0,38,0
湖南省,湘西自治州,8,0,7,0
湖南省,张家界,5,0,5,0
黑龙江省,哈尔滨,194,0,55,3
黑龙江省,鸡西,46,0,3,0
黑龙江省,双鸭山,52,0,11,3
黑龙江省,齐齐哈尔,43,0,11,1
黑龙江省,绥化,47,0,20,4
黑龙江省,大庆,26,0,8,1
黑龙江省,牡丹江,14,0,1,0
黑龙江省,七台河,17,0,6,0
黑龙江省,黑河,14,0,3,0
黑龙江省,鹤岗,5,0,2,0
黑龙江省,佳木斯,15,0,14,0
黑龙江省,伊春,1,0,0,0
黑龙江省,大兴安岭,2,0,2,0
四川省,成都,141,0,69,3
四川省,甘孜州,67,0,8,0
四川省,达州,40,0,11,0
四川省,南充,38,0,15,0
四川省,泸州,24,0,6,0
四川省,巴中,24,0,10,0
四川省,德阳,17,0,3,0
四川省,绵阳,22,0,10,0
四川省,内江,22,0,10,0
四川省,广安,30,0,19,0
四川省,遂宁,17,0,10,0
四川省,凉山州,13,0,6,0
四川省,攀枝花,16,0,11,0
四川省,宜宾,12,0,7,0
四川省,眉山,8,0,3,0
四川省,雅安,7,0,3,0
四川省,自贡,9,0,7,0
四川省,广元,6,0,4,0
四川省,乐山,3,0,2,0
四川省,资阳,3,0,2,0
四川省,阿坝州,1,0,1,0
山东省,济南,47,0,17,0
山东省,烟台,47,0,17,0
山东省,潍坊,44,0,15,0
山东省,青岛,59,0,31,1
山东省,威海,38,0,14,0
山东省,德州,37,0,11,2
山东省,济宁,52,0,29,0
山东省,淄博,29,0,6,0
山东省,泰安,33,0,10,1
山东省,聊城,38,0,21,0
山东省,枣庄,24,0,11,0
山东省,日照,16,0,7,0
山东省,临沂,49,0,41,0
山东省,菏泽,18,0,13,0
山东省,滨州,15,0,11,0
重庆市,万州区,113,0,46,3
重庆市,江北区,28,0,9,0
重庆市,合川区,23,0,8,0
重庆市,潼南区,18,0,4,0
重庆市,奉节县,22,0,9,0
重庆市,綦江区,23,0,11,0
重庆市,长寿区,21,0,10,0
重庆市,垫江县,20,0,9,0
重庆市,两江新区,17,0,7,0
重庆市,南岸区,15,0,5,0
重庆市,九龙坡区,20,0,10,1
重庆市,云阳县,25,0,17,0
重庆市,忠县,20,0,13,0
重庆市,渝北区,16,0,9,0
重庆市,丰都县,10,0,3,0
重庆市,沙坪坝区,8,0,1,0
重庆市,渝中区,20,0,14,0
重庆市,石柱县,14,0,8,0
重庆市,开州区,20,0,14,1
重庆市,大足区,14,0,9,0
重庆市,铜梁区,9,0,4,0
重庆市,巫溪县,13,0,9,0
重庆市,巫山县,10,0,6,0
重庆市,荣昌区,9,0,5,0
重庆市,巴南区,6,0,2,0
重庆市,高新区,4,0,1,0
重庆市,璧山区,9,0,7,0
重庆市,大渡口区,7,0,5,0
重庆市,彭水县,2,0,0,0
重庆市,永川区,5,0,4,0
重庆市,江津区,4,0,3,0
重庆市,涪陵区,3,0,2,0
重庆市,酉阳县,1,0,0,0
重庆市,万盛经开区,1,0,0,0
重庆市,梁平区,4,0,4,0
重庆市,黔江区,2,0,2,0
重庆市,城口县,2,0,2,0
重庆市,武隆区,1,0,1,0
重庆市,秀山县,1,0,1,0
江苏省,苏州,87,0,38,0
江苏省,南京,93,0,47,0
江苏省,淮安,66,0,34,0
江苏省,连云港,48,0,18,0
江苏省,徐州,79,0,55,0
江苏省,常州,51,0,29,0
江苏省,无锡,55,0,35,0
江苏省,南通,40,0,23,0
江苏省,泰州,37,0,24,0
江苏省,扬州,23,0,13,0
江苏省,宿迁,13,0,7,0
江苏省,镇江,12,0,8,0
江苏省,盐城,27,0,25,0
北京市,海淀区,61,0,0,0
北京市,朝阳区,58,0,0,0
北京市,西城区,53,0,0,0
北京市,丰台区,40,0,3,0
北京市,大兴区,39,0,2,0
北京市,昌平区,29,0,0,0
北京市,外地来京人员,26,0,2,0
北京市,通州区,19,0,1,0
北京市,房山区,16,0,3,0
北京市,石景山区,14,0,1,0
北京市,东城区,12,0,1,0
北京市,顺义区,10,0,0,0
北京市,怀柔区,7,0,0,0
北京市,密云区,7,0,0,0
北京市,门头沟区,3,0,2,0
北京市,延庆区,1,0,0,0
北京市,待明确地区,0,0,138,4
福建省,福州,71,0,36,0
福建省,莆田,55,0,22,0
福建省,泉州,46,0,16,0
福建省,厦门,35,0,10,0
福建省,南平,20,0,8,0
福建省,宁德,26,0,17,0
福建省,漳州,20,0,11,0
福建省,三明,14,0,5,0
福建省,龙岩,6,0,1,0
福建省,待明确地区,0,0,0,1
广西壮族自治区,南宁,54,0,24,0
广西壮族自治区,北海,44,0,14,1
广西壮族自治区,河池,23,0,4,1
广西壮族自治区,桂林,31,0,15,0
广西壮族自治区,柳州,24,0,11,0
广西壮族自治区,防城港,19,0,6,0
广西壮族自治区,来宾,11,0,0,0
广西壮族自治区,玉林,11,0,4,0
广西壮族自治区,钦州,8,0,1,0
广西壮族自治区,贵港,8,0,3,0
广西壮族自治区,贺州,4,0,1,0
广西壮族自治区,百色,3,0,2,0
广西壮族自治区,梧州,5,0,5,0
上海市,外地来沪人员,110,0,69,1
上海市,浦东新区,60,0,38,0
上海市,宝山区,21,0,9,0
上海市,徐汇区,18,0,9,0
上海市,松江区,14,0,7,0
上海市,静安区,16,0,10,0
上海市,嘉定区,9,0,3,0
上海市,奉贤区,9,0,3,0
上海市,普陀区,11,0,6,0
上海市,杨浦区,9,0,4,0
上海市,闵行区,19,0,15,0
上海市,长宁区,13,0,10,0
上海市,虹口区,7,0,4,0
上海市,黄浦区,6,0,3,0
上海市,崇明区,4,0,2,0
上海市,金山区,3,0,2,0
上海市,青浦区,5,0,5,0
上海市,待明确地区,0,0,0,1
河北省,唐山,56,0,16,1
河北省,沧州,48,0,22,3
河北省,石家庄,28,0,13,0
河北省,邯郸,31,0,17,0
河北省,张家口,34,0,24,0
河北省,廊坊,30,0,21,0
河北省,邢台,23,0,13,1
河北省,保定,32,0,27,0
河北省,秦皇岛,10,0,5,0
河北省,衡水,8,0,6,0
河北省,承德,7,0,5,0
陕西省,西安,120,0,47,1
陕西省,汉中,26,0,10,0
陕西省,安康,26,0,15,0
陕西省,渭南,15,0,4,0
陕西省,咸阳,17,0,10,0
陕西省,宝鸡,13,0,10,0
陕西省,商洛,7,0,4,0
陕西省,延安,8,0,6,0
陕西省,铜川,8,0,6,0
陕西省,榆林,3,0,1,0
陕西省,杨凌,1,0,0,0
陕西省,韩城,1,0,1,0
陕西省,待明确地区,0,0,4,0
云南省,昆明,53,0,24,0
云南省,昭通,25,0,5,0
云南省,西双版纳,15,0,4,0
云南省,曲靖,13,0,6,0
云南省,保山,9,0,3,0
云南省,红河州,8,0,3,0
云南省,玉溪,14,0,9,1
云南省,大理州,13,0,10,0
云南省,德宏州,5,0,2,0
